SequenceName	ClusterNumber
G000496215	35
G000447865	35
G001462205	35
G000496175	35
G001564135	35
G000416085	35
G000023945	35
G000470655	35
G000337455	35
G001564285	35
G001563955	35
G000025685	35
G000172995	35
G000337095	35
G000416005	35
G001564205	35
G000023965	35
G000517625	35
G000691505	35
G001563885	35
G000337815	35
G000306765	35
G000415985	35
G000746205	35
G000337775	35
G000415965	35
G000223905	35
G000009185	35
G000237865	35
G000337415	35
G000336995	35
G000337755	35
G000337275	35
G000337675	35
G000337555	35
G000455365	35
G000337035	35
G000336875	35
G000328685	35
G000337695	35
G000025625	35
G000337575	35
G000217715	35
G000025325	35
G000784335	35
G000337375	35
G000337355	35
G000022205	35
G000739595	35
G000455345	35
G000337215	35
G000337475	35
G000230715	35
G000383975	35
G000230735	35
G000337895	35
G000336655	35
G000337735	35
G000337715	35
G000337195	35
G000731985	35
G002010305	36
G000194625	36
G002011215	36
G002010215	36
G000025285	36
G002010045	36
G002010125	36
G000385565	36
G000025505	36
G002010285	36
G002011235	36
G001006045	36
G000789255	36
G002010295	36
G002011315	36
G002010155	36
G002010195	36
G000008665	36
G000734035	36
G001508745	36
G001508815	36
G001412355	37
G001315945	37
G000021965	37
G000711215	37
G000235685	37
G000275865	37
G001571385	37
G000243255	37
G000017625	37
G000327485	37
G001896715	37
G000147875	37
G000784355	37
G001512385	37
G001571405	37
G900079125	37
G000304355	37
G001512375	37
G900025055	37
G001509255	37
G001508665	37
G001315965	37
G001017125	37
G000691865	37
G000015825	37
G001508455	38
G001940805	38
G000430905	38
G001602685	38
G000015765	38
G000014945	39
G001603205	39
G000235565	39
G001602645	39
G001509375	39
G001508615	39
G001603225	39
G000204415	39
G001317315	40
G000685155	40
G000970045	40
G000196655	40
G000217995	40
G001714685	40
G001896725	40
G000328665	40
G000013725	40
G000025865	40
G000970285	40
G001577565	40
G000306725	40
G900114835	40
G000970325	40
G001304615	40
G000970305	40
G000007345	40
G000970185	40
G900100715	40
G000504205	40
G000765475	40
G900111645	40
G900106905	40
G001889405	40
G001888095	40
G001512365	40
G000979455	40
G000970265	40
G000970005	40
G000969965	40
G000970145	40
G000970205	40
G001726015	40
G000969885	40
G000969945	40
G000969905	40
G000970125	40
G000970085	40
G000341715	40
G001683555	40
G001577555	40
G001402855	40
G000969925	40
G000969985	40
G000195895	40
G001316305	40
G000979755	40
G000970065	40
G001027005	40
G000970025	40
G001729375	40
G000970165	40
G000979185	40
G000979745	40
G000979095	40
G000978955	40
G000979995	40
G000979015	40
G000979895	40
G000970245	40
G000979855	40
G000979105	40
G000979845	40
G000979825	40
G000979515	40
G000979675	40
G000979815	40
G000979125	40
G000979555	40
G000978935	40
G000979575	40
G000978945	40
G001602695	41
G000013445	41
G001766825	42
G001766815	42
G000063445	42
G000251105	42
G000011005	42
G002010075	42
G000711905	42
G001508185	42
G001507975	42
G001914405	-1
G001595885	43
G001800755	43
G001800745	43
G001800825	43
G001800795	43
G002011155	44
G002011165	44
G001871535	45
G001871475	45
G001515215	46
G001515205	46
G001871415	-1
G000993565	47
G000991265	47
G001771775	47
G001772465	47
G000990085	47
G000990125	47
G000989675	47
G000989705	47
G000990985	47
G000990025	47
G000989775	47
G001772665	-1
G001772575	48
G000997575	48
G001772535	48
G000997355	48
G001772705	48
G001772865	48
G001773295	48
G001773195	48
G001772885	48
G001773225	48
G001772815	48
G001772935	48
G001773375	48
G001773145	48
G001773385	48
G000997795	48
G001772775	48
G001773115	48
G001773055	48
G000997025	48
G000997745	48
G000994825	48
G001773175	48
G001773015	48
G001773035	48
G001772795	48
G001773395	48
G000999505	48
G001000705	48
G001773065	48
G001773215	48
G000995715	48
G000995235	48
G000998145	48
G000997615	48
G000997875	48
G000999305	48
G000999405	48
G000997145	48
G000997545	48
G000503835	48
G001000215	48
G000999385	48
G000996615	48
G001773315	48
G000999585	48
G000998705	48
G000997865	48
G000996895	48
G001773095	48
G001773275	48
G000998555	48
G001772985	49
G001772625	49
G001772855	49
G000994815	49
G001890045	50
G001873785	50
G001772955	51
G001772805	51
G001772545	51
G001776335	52
G001774865	52
G000995995	52
G000404925	52
G001776475	52
G001774995	52
G001774705	52
G001774895	52
G001775085	52
G001775155	52
G001776505	52
G001776455	52
G001774945	52
G001776535	52
G001776425	52
G001776415	52
G000994385	52
G000994395	52
G000994225	52
G001783905	53
G001784055	53
G001782685	53
G001781995	53
G001783775	53
G001782475	53
G001782355	53
G001782295	53
G001783885	53
G001784095	53
G000994635	53
G001782205	53
G001782085	53
G001783975	53
G001783805	53
G001782525	53
G001782645	53
G001782495	53
G001782035	53
G001782415	53
G001782045	53
G001784115	53
G001782445	53
G000990055	53
G000992095	53
G001784045	53
G001783845	53
G000996635	53
G001782735	53
G001782395	53
G001782595	53
G001782265	53
G000998235	54
G001779095	54
G001779065	54
G001003345	54
G000993445	54
G001003305	54
G000998865	54
G001780895	54
G001779345	54
G001000435	54
G000999165	54
G001567515	55
G001789365	55
G001789725	55
G001567245	56
G001788165	56
G001789515	56
G001788235	56
G001790005	56
G001789715	56
G001787915	56
G001789435	56
G001788095	56
G001789875	56
G001873595	57
G001788305	57
G000991535	57
G001789745	57
G001790155	57
G000990305	57
G000402875	57
G001790195	57
G001790045	57
G001790095	57
G000991135	57
G000990725	57
G001789855	57
G001787985	57
G001789645	57
G001789635	57
G001789285	57
G001789545	57
G001789675	57
G001789895	57
G001790115	57
G001788355	57
G000990565	57
G000990465	57
G001788055	57
G001789695	57
G001787885	57
G001789405	57
G001789805	58
G001789995	58
G000990445	58
G001788195	58
G001789555	58
G001789325	58
G001788045	59
G001789965	59
G001790035	59
G001789795	59
G001789535	59
G001787965	59
G001788125	59
G001789475	59
G001788325	60
G001788275	60
G001790075	60
G001790165	60
G001790125	60
G001788375	60
G001788295	60
G001788225	61
G001789935	61
G001789955	61
G001789445	61
G001789775	61
G001787945	61
G001780865	62
G001779195	62
G001779235	62
G001780955	62
G001779015	62
G001871285	62
G001779135	62
G000993925	62
G001779055	62
G001779265	62
G001779385	62
G001779115	62
G001779255	62
G001779275	62
G001782125	63
G000993335	63
G001782605	63
G001782115	63
G001782435	63
G000997505	64
G000997595	64
G000994655	64
G001788215	64
G000996505	64
G001774335	65
G001871835	65
G000995585	65
G001872035	65
G001776115	65
G001776075	65
G001774295	65
G001003755	65
G001001885	65
G001001955	65
G001774275	65
G001774315	65
G001029675	65
G001508535	66
G001872335	66
G000991725	66
G001873435	66
G000993185	66
G001029715	66
G001003265	66
G001787395	66
G001788645	66
G001787405	66
G001787375	66
G001788675	67
G001787315	67
G001001575	67
G001000345	67
G001001445	67
G001002285	67
G001002295	67
G001803415	68
G001803505	68
G001803465	68
G001803475	68
G001776225	69
G001774555	69
G001774535	69
G001000475	69
G001000745	69
G000994325	69
G001776275	69
G000996665	69
G000995475	69
G000998025	69
G000997565	69
G001001715	69
G000998105	69
G000998275	69
G000997955	69
G001001635	69
G001000245	69
G001872005	69
G001000625	69
G001001485	69
G001000965	69
G001000865	69
G001000315	69
G001002605	69
G001001365	69
G001001055	69
G001000665	69
G001774655	69
G000998715	69
G001001125	69
G001774685	69
G001774675	69
G001776255	69
G001774635	69
G001003385	70
G001002355	70
G001002845	70
G001002785	70
G001002885	70
G001002205	70
G001002415	70
G001000465	70
G001002345	70
G001000205	70
G001816575	71
G001816915	71
G001816955	71
G001816585	71
G000999805	72
G001003245	72
G001773775	72
G001002655	72
G001001455	72
G001775605	72
G001773725	72
G001773615	72
G001773695	72
G001001555	72
G001002035	72
G001002455	72
G001002405	72
G001001005	72
G001003585	72
G001001375	72
G001773795	72
G001773815	72
G001773655	72
G001775565	72
G000998545	72
G001003675	72
G001002325	72
G001002525	72
G001773735	72
G001003465	72
G001773645	72
G001773585	72
G001003155	72
G001775645	72
G001775635	72
G001773715	72
G001792155	73
G001792925	73
G001793345	73
G000994565	73
G001792165	73
G001793635	73
G001793625	73
G000989245	73
G000989325	73
G000989865	73
G001793465	73
G001793755	73
G001793545	73
G000989845	73
G001793665	73
G000999065	73
G001793615	73
G001793715	73
G000994465	73
G000996165	73
G000997405	73
G000989855	73
G000990005	73
G001793535	73
G001791935	73
G000989595	73
G000989685	73
G001793355	73
G000996785	73
G000996975	73
G001793455	73
G000989825	73
G001001045	73
G001000385	73
G000995865	73
G000989765	73
G000989925	73
G001793575	73
G000996475	73
G001793705	73
G001792035	74
G001791965	74
G001792005	74
G001792215	74
G000992155	74
G000990505	74
G000993115	74
G000992825	74
G001792575	74
G001792585	74
G000992255	74
G000993025	74
G001792065	74
G001792225	74
G001792995	74
G001792265	74
G001793095	74
G001792375	74
G000993085	74
G000992125	74
G001792255	74
G001793015	74
G001791885	74
G000993405	74
G000993365	74
G001792295	74
G001792545	74
G001793075	74
G001793105	74
G001792345	74
G000994895	74
G000992365	74
G000993305	74
G001792465	75
G001793185	75
G001792425	75
G001793335	75
G001793475	75
G001792495	75
G001792335	75
G001793005	75
G001793085	75
G001792305	75
G001793255	75
G001792075	75
G001792415	75
G001793165	75
G001792935	75
G001792535	75
G001816555	76
G001816895	76
G001816455	76
G001816425	76
G001816405	76
G001816475	76
G001816375	76
G000995665	77
G000999595	77
G001776045	-1
G000992605	78
G000992725	78
G000992285	78
G000989305	78
G001790905	78
G001790765	78
G001779145	79
G001003415	79
G001776685	80
G001777065	80
G000995285	80
G001777025	80
G001775325	80
G001776585	80
G001779755	80
G001779835	80
G001777015	80
G001776855	80
G001777055	80
G001779735	80
G001779745	80
G000992925	80
G000992645	80
G001776975	80
G001777495	80
G000997225	80
G001777435	80
G001776815	80
G001776755	80
G001777345	80
G000994095	80
G000997105	80
G001776635	80
G001777335	80
G001777455	80
G000994545	80
G001776835	80
G001776735	80
G000996555	80
G000997385	80
G001776675	80
G001777465	80
G001776945	80
G001777375	80
G001803445	-1
G001871995	81
G001771165	81
G000991025	81
G001772215	81
G001772695	82
G001772615	82
G001567355	83
G001567305	83
G001788885	84
G001788765	84
G000999445	84
G000989565	84
G000989635	84
G000995295	84
G000993615	84
G001787475	84
G001788715	84
G001873565	84
G000999965	84
G000999315	84
G001788845	84
G001788875	84
G001788795	84
G001788805	84
G000999945	85
G001788685	85
G001787455	85
G000992695	85
G000992775	85
G000993595	85
G001787555	86
G001004835	86
G001787485	86
G001788955	86
G001787625	86
G001004735	86
G001787565	86
G001787535	86
G001789005	86
G001004775	86
G001789035	86
G001789165	86
G001788925	86
G001788995	86
G001787675	86
G001789155	86
G001787805	86
G001872575	86
G001789045	86
G001789125	86
G001787585	86
G001787705	86
G001789115	86
G001787615	86
G001788915	86
G001787795	86
G001787775	86
G001787725	86
G001430755	86
G001787755	86
G001430885	86
G001789075	86
G001789085	86
G001430905	86
G001430805	86
G001430845	86
G001788755	87
G001788835	87
G000991185	-1
G001776175	88
G001774395	88
G001776125	88
G001776145	89
G000991925	89
G001772255	90
G001771275	90
G001772265	90
G001771215	90
G001771185	90
G001004375	90
G001029795	90
G001004445	90
G001790495	91
G000803625	91
G001873625	91
G001897305	91
G001897295	91
G000503915	91
G000392435	91
G000463895	91
G001003725	91
G001790365	91
G001790435	91
G001790445	92
G001790455	92
G001788565	92
G001790625	92
G001790525	92
G001790575	92
G001002185	92
G001776195	93
G000993135	93
G001777585	94
G001779925	94
G001780065	94
G001777695	94
G001777815	94
G001779995	94
G001777575	94
G001777855	94
G001779915	94
G001777825	94
G001777655	94
G001777775	94
G001780145	94
G001777665	94
G001777545	94
G001779895	94
G001779985	94
G001780055	94
G001000505	95
G001000955	95
G001818205	95
G001818085	95
G001000815	95
G001818175	95
G001818075	95
G001000795	95
G001818155	95
G001818435	96
G001872435	96
G001889965	96
G001791465	97
G001791245	97
G001791375	97
G001791575	97
G001818395	98
G001818365	98
G000991205	98
G001818495	98
G001818445	98
G001872245	99
G001818835	99
G001818855	99
G000999255	99
G001001425	99
G001818475	99
G001001205	99
G001871365	100
G001783595	100
G000998185	100
G001783645	100
G001781935	100
G001783635	100
G000992395	101
G001817385	101
G001817575	101
G001817345	101
G001817415	101
G001817305	101
G001817495	101
G001817585	101
G001780315	102
G001778275	102
G001778155	102
G000992955	102
G001778075	102
G001778235	102
G000996245	102
G000993485	102
G001817255	103
G001817265	103
G001780235	104
G001778085	104
G001778285	104
G001871235	104
G001871165	104
G000999715	104
G000995135	104
G001873515	104
G001778255	104
G001778055	104
G001778165	104
G001780275	104
G000992615	104
G000992765	104
G000992375	104
G000997945	104
G001780215	104
G000992745	104
G000992575	104
G000992665	104
G001783215	105
G001783315	105
G000990355	105
G001783035	105
G001784255	105
G001783135	105
G001784235	105
G001782905	105
G001784455	105
G001783065	105
G001871435	105
G001783255	105
G000992085	105
G001784435	105
G001782965	105
G001783015	105
G001784315	105
G001784355	105
G001782955	105
G001783095	105
G001784325	105
G001782935	105
G001782805	105
G001782895	105
G001784275	105
G001871445	105
G001782825	105
G001782875	105
G001784395	105
G001783105	105
G000996965	105
G001783185	105
G001784365	105
G001783045	105
G001784285	105
G001000125	105
G000998635	105
G000999365	105
G001782815	106
G001782975	106
G001791475	106
G001791065	107
G000995915	107
G001001645	107
G000994285	107
G001791735	107
G000996715	107
G000996355	107
G001791725	107
G001791645	107
G001002565	107
G001002765	107
G001004575	107
G000993535	107
G001791715	107
G001790985	107
G001791565	107
G001791205	107
G001790825	107
G001791305	107
G001791455	107
G001791335	108
G001004485	108
G001791505	108
G001791035	108
G001791635	108
G000997135	108
G001791655	108
G000997065	108
G000995215	108
G000997445	108
G000998515	108
G000996685	108
G000996765	108
G000996525	108
G000994165	108
G000997055	108
G001791115	109
G001791135	109
G001303185	109
G001791745	109
G001872545	109
G001001845	110
G001001705	110
G001791005	110
G001791195	110
G001791555	110
G001791295	110
G001791415	110
G001790815	110
G001791145	111
G001791275	111
G001001925	112
G001001655	112
G000996735	112
G001783145	112
G000996105	112
G001873525	113
G001791425	113
G001002965	113
G001791535	113
G001791155	113
G001791385	113
G001790975	113
G001817505	-1
G001823015	114
G000998975	114
G001822975	114
G001824755	114
G000995845	114
G001000185	114
G001000025	114
G000999675	114
G001818135	115
G001818055	115
G001818105	115
G000999025	115
G001003705	116
G001004025	116
G001818335	116
G001818755	116
G001818735	116
G001818315	116
G001873465	-1
G001778195	-1
G001786575	117
G001784715	117
G001784695	117
G001873875	117
G001873245	117
G000995125	118
G001784815	118
G001786615	118
G001784725	118
G000991855	118
G000991935	118
G001784915	118
G000990485	118
G000990805	118
G000990945	118
G001784965	118
G001784805	118
G000990885	118
G000990515	118
G001001345	118
G001001155	118
G001003065	118
G001003855	118
G000992565	118
G000992165	118
G000991815	118
G000992325	118
G000991645	118
G000991325	118
G000991525	118
G000991495	118
G000991245	118
G000990595	118
G001819535	119
G001873495	119
G001819475	119
G001872385	119
G001819495	119
G001819635	119
G001000145	119
G000998935	119
G000997475	119
G001872305	-1
G001821575	120
G001819255	120
G001819295	120
G001819335	120
G001823315	120
G001819345	120
G001302985	120
G000993375	120
G001821455	120
G001819315	120
G000992685	120
G001303125	120
G001873405	120
G001872265	120
G000398025	120
G001004055	121
G001003785	121
G001003905	121
G001824985	121
G001823235	121
G001825005	121
G001823155	121
G001823295	121
G001823165	121
G001820145	122
G000989435	122
G001820355	122
G001820095	122
G001822005	122
G000992015	122
G001822155	122
G001820135	122
G000989665	122
G001820175	122
G001822165	122
G001820555	122
G001821935	122
G001820515	122
G001820475	122
G001820115	122
G001820305	122
G001820225	122
G001821925	122
G001820325	122
G001820395	122
G001820445	122
G001820295	122
G001820535	122
G001822075	122
G001822135	122
G001820405	122
G001872425	123
G001872225	123
G001823415	124
G001003225	124
G001824925	124
G001823375	124
G001824885	124
G001819985	125
G001821805	125
G001819975	125
G001821845	125
G001821835	125
G001820055	125
G000991295	-1
G001795795	126
G001795665	126
G001794515	126
G001795695	126
G001794025	126
G001794595	126
G001795875	126
G000994085	126
G001794015	126
G001794755	126
G001794485	126
G001794475	126
G001794295	126
G001794105	126
G001795615	126
G001794145	126
G001794065	126
G001795975	126
G001795655	126
G001794215	126
G001795625	126
G001794435	126
G001794055	126
G001794675	126
G001794735	126
G001794285	126
G001794635	126
G001795825	126
G001794385	126
G001794555	126
G001795855	126
G001795585	126
G001794575	126
G001795735	126
G001794125	126
G001794695	126
G001794375	126
G001794095	126
G001779505	127
G001002015	127
G001779475	127
G001779535	127
G001779555	127
G001004105	127
G001003525	127
G001001115	128
G000996445	128
G001003645	128
G000993695	128
G001000675	128
G001793895	128
G001003425	128
G001793975	128
G001000305	128
G001793945	128
G001793935	128
G001002585	128
G001003095	128
G001002795	128
G001000945	128
G000998475	128
G001029635	128
G001818625	129
G001819945	129
G001818615	129
G001818895	129
G001005035	129
G001004965	129
G001818655	129
G001818545	129
G001818535	130
G001818595	130
G001818015	130
G001817925	130
G001793855	130
G001002005	130
G001818705	130
G001818695	130
G001817975	130
G001817875	130
G001817915	130
G001817995	130
G001818675	130
G001817735	131
G001817685	131
G001817755	131
G001817635	131
G001002165	131
G001817715	131
G001817675	131
G001817805	131
G001000105	132
G001793865	132
G001793815	132
G001818915	133
G001821355	133
G001821375	133
G001779575	-1
G001001795	134
G001872485	134
G001002095	134
G001817215	134
G001775935	135
G001774135	135
G001775785	135
G000999865	135
G001774075	135
G001774195	135
G000995795	135
G001774055	135
G001774005	135
G000994805	135
G000999325	135
G000998845	135
G000999665	135
G000998315	135
G000998395	135
G000996315	135
G001775885	135
G001774215	135
G001774165	135
G001775915	135
G001822385	136
G001820755	136
G001820715	136
G001820635	136
G001820675	136
G001822415	136
G001822305	136
G001822325	136
G001820775	136
G000998135	136
G001003045	136
G001820565	136
G001820685	136
G001822215	137
G001822455	137
G001001625	137
G001822345	137
G001822375	137
G001820725	137
G001822295	137
G001819875	138
G001821725	138
G001819785	138
G001819815	138
G001819735	138
G001780515	139
G001778595	139
G001778735	139
G001780695	139
G001780445	139
G001000585	139
G000998195	139
G001000005	139
G001778635	139
G001000285	139
G001778875	139
G001001285	139
G000994865	139
G000999085	139
G001780645	139
G001778465	139
G001002485	139
G001778555	139
G000999145	139
G001778415	139
G001780565	139
G001778955	139
G001780595	139
G000998125	139
G001778435	139
G001778615	139
G001778655	139
G001778755	139
G001778395	139
G001780725	139
G001780425	139
G001778935	139
G001780605	139
G001819395	140
G001820815	140
G001778975	140
G001778775	140
G001778855	140
G001778665	140
G001778535	140
G001778545	140
G001780535	140
G001780705	140
G001780775	140
G001778905	140
G001780415	140
G001778705	140
G001780495	140
G001780555	140
G001780635	140
G001780475	140
G001822475	-1
G001004355	141
G001004305	141
G001824825	141
G001890035	141
G001823055	141
G000998905	141
G000994995	141
G001825485	-1
G001785485	142
G000990495	142
G001786325	142
G000990965	142
G001786255	142
G000990275	142
G000990325	142
G001786355	142
G000992005	142
G000991735	142
G000992205	142
G000991405	142
G000991485	142
G000991285	142
G000991845	142
G000991655	142
G000991335	142
G001785415	143
G001786225	143
G000993955	143
G001785805	143
G001785815	143
G000993105	143
G001786055	143
G001785595	143
G001785515	143
G000990665	143
G001785615	143
G001787125	143
G001786795	143
G001786125	143
G001786965	143
G000998465	143
G001786745	143
G000996985	143
G000997645	143
G001000035	143
G000994705	143
G001785295	143
G000999185	143
G000999925	143
G001786735	143
G001787245	143
G000995945	143
G000994485	143
G000994515	143
G001786175	143
G000994305	143
G001785675	143
G000990145	143
G000991975	143
G001786805	143
G001786905	143
G001785785	143
G001785545	143
G001785985	143
G000995805	143
G000994625	143
G000994675	143
G001785465	143
G001785895	143
G001786195	143
G001785695	143
G001785275	143
G001786885	143
G001786045	143
G001823505	144
G000997715	144
G000996605	144
G001823545	144
G001825065	144
G001871765	144
G000997825	144
G000999475	144
G000998425	144
G001000595	144
G001873305	144
G001823535	144
G001823495	144
G001825075	144
G001819135	145
G000999395	145
G001821395	145
G001818945	145
G001821435	145
G001821385	145
G001818995	145
G001818975	145
G001819095	145
G001819055	145
G001819035	145
G001781205	146
G001781255	146
G001783515	146
G001779595	146
G001783525	146
G001873485	146
G001783565	146
G001567365	146
G001781375	146
G001783435	146
G001781415	146
G001781805	146
G001824355	147
G001779655	147
G001783335	147
G001783485	147
G001004265	147
G001781465	147
G001781845	147
G001003805	147
G001781555	147
G001781675	147
G001781685	147
G001781605	147
G001781875	147
G001783355	147
G001783375	147
G001004985	147
G001781195	147
G001783445	147
G001781335	147
G001783415	147
G001781105	147
G001781725	147
G001781275	147
G001781355	147
G001781515	147
G001781175	147
G001781445	147
G001781795	147
G001189095	148
G001781625	148
G001189075	148
G001781095	148
G001189195	148
G001189215	148
G001872505	148
G001779585	148
G001004905	148
G001005015	148
G001781885	148
G001783465	148
G001781565	148
G001781285	148
G001775475	149
G001775445	149
G001004665	149
G001004755	149
G001775435	149
G001779615	-1
G000992905	150
G001825325	150
G001824195	150
G001825295	150
G001823825	150
G001825335	150
G000996025	150
G001824235	150
G001825395	150
G000994025	150
G001824275	150
G001825445	150
G001825235	150
G000993415	150
G001824095	150
G000995625	150
G001823815	150
G001824155	150
G001825405	150
G000998065	150
G000996185	150
G000995155	150
G001824295	150
G000994785	150
G001003165	151
G001821185	151
G001821065	151
G001001935	151
G001822505	151
G001820955	151
G001822765	151
G001820935	151
G001004005	151
G001822615	151
G001003605	151
G000999035	151
G001004225	151
G001821305	151
G001821155	151
G001820885	151
G001821135	151
G001821275	151
G001821165	151
G001822535	151
G001824735	151
G001820905	151
G001823875	152
G001823895	152
G001823695	152
G001823995	152
G001824135	152
G001823745	152
G001824025	152
G001824005	152
